countrycode,year,gdppc,pop
USA,1998,"43,073","276,417"
USA,1999,"44,576","279,609"
USA,2000,"45,886","282,738"
USA,2001,"45,878","285,550"
USA,2002,"46,266","288,212"
USA,2003,"47,158","290,700"
USA,2004,"48,493","293,402"
USA,2005,"49,655","296,119"
USA,2006,"50,490","298,988"
USA,2007,"50,902","301,846"
USA,2008,"50,276","304,714"
USA,2009,"48,453","307,397"
USA,2010,"49,267","309,957"
USA,2011,"49,675","312,215"
USA,2012,"50,394","314,514"
USA,2013,"50,863","316,702"
USA,2014,"51,664","319,036"
USA,2015,"52,591","321,397"
USA,2016,"53,015","323,730"
USA,2017,"54,008","325,810"
USA,2018,"55,335","327,835"
